[TOPOLOGY_DEBUG] Setting up network topology:
[TOPOLOGY_DEBUG]   node_num=32 gpus_per_server=8
[TOPOLOGY_DEBUG]   nvswitch_num=0 switch_num=0
[TOPOLOGY_DEBUG]   link_num=496 enable_ub_mesh=0
[UB_MESH_DEBUG] Detected UB mesh topology - implementing distributed routing
[LINK_DEBUG] Creating link 177: src=6 dst=13 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 178: src=6 dst=14 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 179: src=6 dst=15 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 180: src=6 dst=16 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 181: src=6 dst=17 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 182: src=6 dst=18 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 183: src=6 dst=19 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 184: src=6 dst=20 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 185: src=6 dst=21 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 186: src=6 dst=22 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 187: src=6 dst=23 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 188: src=6 dst=24 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 189: src=6 dst=25 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 190: src=6 dst=26 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 191: src=6 dst=27 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 192: src=6 dst=28 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 193: src=6 dst=29 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 194: src=6 dst=30 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 195: src=6 dst=31 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=6
[LINK_DEBUG] Creating link 196: src=7 dst=8 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
[LINK_DEBUG] Creating link 197: src=7 dst=9 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
[LINK_DEBUG] Creating link 198: src=7 dst=10 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
[LINK_DEBUG] Creating link 199: src=7 dst=11 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
[LINK_DEBUG] Creating link 200: src=7 dst=12 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
[LINK_DEBUG] Creating link 201: src=7 dst=13 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
[LINK_DEBUG] Creating link 202: src=7 dst=14 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=7
